0,0,5,7,7,6,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,0,0,
0,0,0,1,4,6,0,
0,0,5,10,10,6,0,
0,0,5,7,7,6,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,0,0,
0,0,5,1,4,6,0,
0,0,5,10,10,6,0,
0,0,5,7,7,6,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
0,0,5,10,10,6,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,0,5,10,10,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,0,0,10,10,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,0,10,10,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,10,10,0,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,0,0,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,5,0,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,4,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,0,6,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,0,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,7,7,0,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,0,0,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,10,10,0,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,0,10,10,4,6,0,
0,0,5,7,7,0,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,0,10,10,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,10,10,0,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,0,0,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,1,0,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,0,4,6,0,
0,0,5,0,7,7,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,0,7,7,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,1,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,4,6,0,
0,0,5,0,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,10,10,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,10,10,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,0,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,0,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,5,0,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,0,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,5,0,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,0,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,7,7,0,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,5,0,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,5,0,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,5,0,4,6,0,
10,10,5,0,4,6,0,
0,0,5,1,7,7,0,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,5,0,4,6,0,
10,10,5,0,4,6,0,
0,0,5,1,7,7,0,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,0,0,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,0,0,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,10,10,0,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,10,10,0,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,10,10,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,10,10,4,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,10,10,0,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,10,10,0,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,10,10,0,0,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,10,10,0,0,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,0,0,0,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,0,10,10,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,0,10,10,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,7,7,0,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,5,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,7,7,0,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,5,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,7,7,0,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,5,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,0,7,7,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,5,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,0,7,7,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,5,10,10,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,0,10,10,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,0,10,10,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,0,10,10,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,0,10,10,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,10,10,0,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,10,10,0,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,0,0,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,0,0,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,5,0,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,5,0,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,5,0,4,6,0,
10,10,5,0,0,6,0,
0,0,5,1,0,7,7,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,5,0,4,6,0,
10,10,5,0,0,6,0,
0,0,5,1,0,7,7,
0,0,0,1,0,8,8,
0,0,0,1,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,5,0,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,0,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,5,0,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,0,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
10,10,0,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
10,10,0,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,0,4,6,0,
0,10,10,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,0,4,6,0,
0,10,10,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,1,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
3,3,3,0,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,4,2,2,
0,3,3,3,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,0,6,0,
0,0,5,1,0,7,7,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,0,7,7,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,5,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,0,7,7,
0,0,0,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
10,10,5,1,4,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,0,0,0,9,9,

0,0,0,0,0,2,2,
0,3,3,3,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,4,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
10,10,0,1,4,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
0,0,5,0,0,9,9,

0,0,0,0,0,2,2,
3,3,3,0,4,6,0,
0,0,0,1,4,6,0,
0,10,10,1,4,6,0,
0,0,5,1,0,7,7,
0,0,5,0,0,8,8,
